1596994949,84
2883984772,94
1767239067,85
8929282695,64
7141918441,47
8192988396,47
432326997,41
9379686462,19
646684663,56
5836177324,41
5836177324,71
1137619486,87
763947468,7
3926407942,24
9434865509,20
340845457,38
340845457,19
6408784156,53
6321673388,4
137548327,90
693939812,43
3389629560,59
4911376676,41
2319114519,62
96173385,23
7051872413,95
7924529142,95
8774475177,14
6437515220,81
903941450,10
9013246504,52
1350935609,6
7385683966,47
7415761849,90
6271212640,73
7415761849,53
9907552427,78
8498999759,58
6013849650,83
8947738190,70
120839310,86
8163079984,31
8292607986,80
698403051,61
9339423390,19
9303856944,14
5380853262,52
6576634156,13
1016073868,81
9299000426,67
3474718962,34
9007762654,55
7916356637,1
3544102004,44
5539665835,7
301862940,82
8034089211,92
2777343210,32
379351822,61
1797010303,7
163382279,13
3018046539,39
8185561557,82
1471745779,68
8164703002,88
3530034523,64
9295999995,1
9618458157,82
7120712199,45
6685854872,46
6970949497,76
7481447934,3
2675455879,49
7682706949,72
2311625153,68
8265557577,24
4336980146,26
6634465072,52
294899489,27
6634465072,67
8858443238,98
2728919870,27
4057085649,62
5975034271,15
4140890321,57
4794521765,68
5846189693,42
5660165303,46
6639354987,70
9760464126,85
5022861423,74
2155051009,3
1018111776,93
1372989247,50
2631538801,72
2969797643,24
2775668385,22
6989198106,54
2775668385,72
